keyword,language,country,city,cluster,search_intent,commercial_intent,local_intent,trend_score,trend_direction,search_volume,volume_source,competition,keyword_difficulty,CPC,traffic_potential,conversion_potential,business_value,priority,target_page,content_type,SERP_type,competitors,notes
aménagement jardin Toulouse,fr,France,Toulouse,AMENAGEMENT_EXTERIEUR_TOULOUSE,commercial/local,70,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée mais surtout occupée par des paysagistes purs (Terra Création, Arboréo, Portelli) — angle différent du nôtre (maçonnerie/dallage) que du paysagisme végétal",N/A,N/A,medium,medium,65/100 (MEDIUM),P1,/services/amenagement-exterieur,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Se différencier des paysagistes : RK est positionné maçonnerie/dallage/structure extérieure, pas création de jardins végétalisés — le message doit rester honnête sur le périmètre réel du service"
création allée Toulouse,fr,France,Toulouse,AMENAGEMENT_EXTERIEUR_TOULOUSE,commercial/local,70,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée mais surtout occupée par des paysagistes purs (Terra Création, Arboréo, Portelli) — angle différent du nôtre (maçonnerie/dallage) que du paysagisme végétal",N/A,N/A,medium,medium,65/100 (MEDIUM),P1,/services/amenagement-exterieur,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Se différencier des paysagistes : RK est positionné maçonnerie/dallage/structure extérieure, pas création de jardins végétalisés — le message doit rester honnête sur le périmètre réel du service"
prix rénovation maison au m2,fr,France,N/A,INFORMATIONAL_PRIX_RENOVATION,informational,40,10,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Effy, Hellowatt, Architecteo, Manda, travaux.com — sites médias/leads nationaux)",N/A,N/A,high (national) mais faible conversion directe,medium,70/100 (MEDIUM),P2,/guides/prix-renovation-maison,guide informationnel,featured snippet + PAA,voir COMPETITOR_ANALYSIS.md,"ESTIMATE trouvée via recherche (sources Effy/Hellowatt/Architecteo, 2026) : ~700€/m2 en moyenne, 160-350€/m2 rafraîchissement léger, 950-1250€/m2+ rénovation complète, jusqu'à 4000€/m2 rénovation lourde. Toujours citer la source, jamais présenté comme un devis RK."
combien coûte une rénovation maison,fr,France,N/A,INFORMATIONAL_PRIX_RENOVATION,informational,35,10,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée,N/A,N/A,high,medium,65/100 (MEDIUM),P2,/guides/prix-renovation-maison,guide informationnel,featured snippet + PAA,voir COMPETITOR_ANALYSIS.md,"Variante question — même page cible que ci-dessus, ne pas dupliquer"
quel budget pour rénover une maison,fr,France,N/A,INFORMATIONAL_PRIX_RENOVATION,informational,35,10,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée,N/A,N/A,medium,medium,60/100 (MEDIUM),P2,/guides/prix-renovation-maison,guide informationnel,PAA,voir COMPETITOR_ANALYSIS.md,Variante question — même page cible
prix construction maison au m2,fr,France,N/A,INFORMATIONAL_PRIX_CONSTRUCTION,informational,40,10,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs nationaux),N/A,N/A,high,medium,65/100 (MEDIUM),P2,/guides/prix-construction-maison,guide informationnel,featured snippet + PAA,voir COMPETITOR_ANALYSIS.md,Volume national probable élevé mais concurrence de constructeurs catalogue avec gros budgets SEO
prix maçonnerie au m2,fr,France,N/A,INFORMATIONAL_PRIX_MACONNERIE,informational,45,20,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,moyenne,N/A,N/A,medium,medium-high,60/100 (MEDIUM),P2,/guides/prix-maconnerie,guide informationnel,PAA,voir COMPETITOR_ANALYSIS.md,Bonne opportunité: moins de guides dédiés trouvés que pour la rénovation générale
prix terrassement au m2,fr,France,N/A,INFORMATIONAL_PRIX_TERRASSEMENT,informational,45,20,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,moyenne,N/A,N/A,medium,medium-high,55/100 (MEDIUM),P2,/guides/prix-terrassement,guide informationnel,PAA,voir COMPETITOR_ANALYSIS.md,Peu de guides dédiés trouvés spécifiquement — opportunité de contenu original
combien coûte un maçon,fr,France,N/A,INFORMATIONAL_PRIX_MACONNERIE,informational,40,15,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,moyenne,N/A,N/A,medium,medium,55/100 (MEDIUM),P2,/guides/prix-maconnerie,guide informationnel,PAA,voir COMPETITOR_ANALYSIS.md,"Variante question, même page cible que 'prix maçonnerie au m2'"
comment choisir une entreprise de rénovation,fr,France,N/A,INFORMATIONAL_GUIDE_CHOIX,informational,50,15,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,faible-moyenne,N/A,N/A,medium,medium-high,55/100 (MEDIUM),P2,/guides/comment-choisir-son-entreprise-de-renovation,guide informationnel,PAA,voir COMPETITOR_ANALYSIS.md,"Contenu qui peut mettre en avant les vraies preuves de confiance de RK (SIRET, assurance décennale à vérifier — voir points à confirmer)"
devis rénovation maison gratuit,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,transactional,90,70,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée,N/A,N/A,medium,very high,80/100 (HIGH),P1,/services/renovation,page service (section devis),organic + ads,voir COMPETITOR_ANALYSIS.md,"Forte intention transactionnelle — doit renvoyer vers le formulaire de devis, pas vers un guide"
RK Pyrénées Construction,fr,France,Toulouse,BRAND,navigational,100,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,aucune (marque propre),N/A,N/A,low (mais volume 100% qualifié),very high,100/100 (HIGH),P1,/,homepage,brand SERP + knowledge panel potentiel,voir COMPETITOR_ANALYSIS.md,Doit être imbattable sur son propre nom — impose Organization/LocalBusiness schema + fiche GBP cohérente (voir LOCAL_SEO.md)
RK Pyrénées Construction avis,fr,France,Toulouse,BRAND,navigational,95,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,aucune (marque propre),N/A,N/A,low (mais volume 100% qualifié),very high,100/100 (HIGH),P1,/,homepage,brand SERP + knowledge panel potentiel,voir COMPETITOR_ANALYSIS.md,Doit être imbattable sur son propre nom — impose Organization/LocalBusiness schema + fiche GBP cohérente (voir LOCAL_SEO.md)
RK Pyrénées Construction Toulouse,fr,France,Toulouse,BRAND,navigational,95,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,aucune (marque propre),N/A,N/A,low (mais volume 100% qualifié),very high,100/100 (HIGH),P1,/,homepage,brand SERP + knowledge panel potentiel,voir COMPETITOR_ANALYSIS.md,Doit être imbattable sur son propre nom — impose Organization/LocalBusiness schema + fiche GBP cohérente (voir LOCAL_SEO.md)
maçon Blagnac,fr,France,Blagnac,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
rénovation maison Colomiers,fr,France,Colomiers,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
entreprise rénovation Tournefeuille,fr,France,Tournefeuille,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
maçon Balma,fr,France,Balma,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
rénovation maison Muret,fr,France,Muret,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
construction extension Cugnaux,fr,France,Cugnaux,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
maçonnerie L'Union,fr,France,L'Union,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
rénovation maison Castanet-Tolosan,fr,France,Castanet-Tolosan,SUBURBS_CANDIDATE,commercial/local,70,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,variable selon commune (non vérifiée),N/A,N/A,faible à moyen (non mesuré),medium,50/100 (MEDIUM),P2,à définir — PAS de page tant que non validé,"section 'zones desservies' sur page service, page dédiée uniquement si demande confirmée",local pack potentiel,voir COMPETITOR_ANALYSIS.md,"Candidat de banlieue proche (réponse utilisateur : 'Toulouse + proche banlieue', communes non précisées). NE PAS créer de page dédiée pour ces villes sans volume de recherche confirmé et sans intervention réelle vérifiée. À traiter d'abord comme mentions dans une section 'Zones d'intervention' sur les pages services."
construction maison Maroc,fr,Maroc,N/A,INTERNATIONAL_SCAN,informational/commercial (non qualifié pour RK),30,0,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,non évaluée (hors périmètre d'intervention actuel de RK Pyrénées),N/A,N/A,N/A,très faible (RK n'intervient pas physiquement hors Toulouse/31),15/100 (LOW),P3,aucune page prévue,exploratoire uniquement,N/A,voir COMPETITOR_ANALYSIS.md,RK Pyrénées est une SASU basée à Toulouse sans agence ni équipe locale au Maroc/Belgique/Suisse. Cibler ce trafic créerait des attentes que l'entreprise ne peut pas honorer (chantier sur place). Conservé uniquement comme veille exploratoire — voir INTERNATIONAL_SEO.md (NE PAS construire de pages pour l'instant).
prix construction maison Maroc,fr,Maroc,N/A,INTERNATIONAL_SCAN,informational/commercial (non qualifié pour RK),30,0,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,non évaluée (hors périmètre d'intervention actuel de RK Pyrénées),N/A,N/A,N/A,très faible (RK n'intervient pas physiquement hors Toulouse/31),15/100 (LOW),P3,aucune page prévue,exploratoire uniquement,N/A,voir COMPETITOR_ANALYSIS.md,RK Pyrénées est une SASU basée à Toulouse sans agence ni équipe locale au Maroc/Belgique/Suisse. Cibler ce trafic créerait des attentes que l'entreprise ne peut pas honorer (chantier sur place). Conservé uniquement comme veille exploratoire — voir INTERNATIONAL_SEO.md (NE PAS construire de pages pour l'instant).
entreprise construction Casablanca,fr,Maroc,N/A,INTERNATIONAL_SCAN,informational/commercial (non qualifié pour RK),30,0,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,non évaluée (hors périmètre d'intervention actuel de RK Pyrénées),N/A,N/A,N/A,très faible (RK n'intervient pas physiquement hors Toulouse/31),15/100 (LOW),P3,aucune page prévue,exploratoire uniquement,N/A,voir COMPETITOR_ANALYSIS.md,RK Pyrénées est une SASU basée à Toulouse sans agence ni équipe locale au Maroc/Belgique/Suisse. Cibler ce trafic créerait des attentes que l'entreprise ne peut pas honorer (chantier sur place). Conservé uniquement comme veille exploratoire — voir INTERNATIONAL_SEO.md (NE PAS construire de pages pour l'instant).
rénovation maison Belgique,fr,Belgique,N/A,INTERNATIONAL_SCAN,informational/commercial (non qualifié pour RK),30,0,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,non évaluée (hors périmètre d'intervention actuel de RK Pyrénées),N/A,N/A,N/A,très faible (RK n'intervient pas physiquement hors Toulouse/31),15/100 (LOW),P3,aucune page prévue,exploratoire uniquement,N/A,voir COMPETITOR_ANALYSIS.md,RK Pyrénées est une SASU basée à Toulouse sans agence ni équipe locale au Maroc/Belgique/Suisse. Cibler ce trafic créerait des attentes que l'entreprise ne peut pas honorer (chantier sur place). Conservé uniquement comme veille exploratoire — voir INTERNATIONAL_SEO.md (NE PAS construire de pages pour l'instant).
entreprise rénovation Bruxelles,fr,Belgique,N/A,INTERNATIONAL_SCAN,informational/commercial (non qualifié pour RK),30,0,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,non évaluée (hors périmètre d'intervention actuel de RK Pyrénées),N/A,N/A,N/A,très faible (RK n'intervient pas physiquement hors Toulouse/31),15/100 (LOW),P3,aucune page prévue,exploratoire uniquement,N/A,voir COMPETITOR_ANALYSIS.md,RK Pyrénées est une SASU basée à Toulouse sans agence ni équipe locale au Maroc/Belgique/Suisse. Cibler ce trafic créerait des attentes que l'entreprise ne peut pas honorer (chantier sur place). Conservé uniquement comme veille exploratoire — voir INTERNATIONAL_SEO.md (NE PAS construire de pages pour l'instant).
construction maison Suisse,fr,Suisse,N/A,INTERNATIONAL_SCAN,informational/commercial (non qualifié pour RK),30,0,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,non évaluée (hors périmètre d'intervention actuel de RK Pyrénées),N/A,N/A,N/A,très faible (RK n'intervient pas physiquement hors Toulouse/31),15/100 (LOW),P3,aucune page prévue,exploratoire uniquement,N/A,voir COMPETITOR_ANALYSIS.md,RK Pyrénées est une SASU basée à Toulouse sans agence ni équipe locale au Maroc/Belgique/Suisse. Cibler ce trafic créerait des attentes que l'entreprise ne peut pas honorer (chantier sur place). Conservé uniquement comme veille exploratoire — voir INTERNATIONAL_SEO.md (NE PAS construire de pages pour l'instant).
rénovation maison Genève,fr,Suisse,N/A,INTERNATIONAL_SCAN,informational/commercial (non qualifié pour RK),30,0,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,non évaluée (hors périmètre d'intervention actuel de RK Pyrénées),N/A,N/A,N/A,très faible (RK n'intervient pas physiquement hors Toulouse/31),15/100 (LOW),P3,aucune page prévue,exploratoire uniquement,N/A,voir COMPETITOR_ANALYSIS.md,RK Pyrénées est une SASU basée à Toulouse sans agence ni équipe locale au Maroc/Belgique/Suisse. Cibler ce trafic créerait des attentes que l'entreprise ne peut pas honorer (chantier sur place). Conservé uniquement comme veille exploratoire — voir INTERNATIONAL_SEO.md (NE PAS construire de pages pour l'instant).
